Country_code,Country,Country_short,Region,Income_group,Year_decision,Year_first_decision,Year_target,Year_latest_target,Target_minimum,Target_maximum,Target_average,Unit,Target_type,RE_technology,Target_consistent,Miscellaneous,Source,Note for time-series,Newly added by
AFG,Afghanistan,Afghanistan,South Asia,Low income,2016,2016,2050,2050,,100,100,Percent,Electricity ,All technologies,100,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2017_Full-Report_English.pdf,1,
AFG,Afghanistan,Afghanistan,South Asia,Low income,2022,2016,2030,2050,,25,25,Percent,Electricity ,All technologies,25,,https://www.ren21.net/wp-content/uploads/2019/05/GSR-2023_Energy-Supply-Module.pdf,1,Poon
AFG,Afghanistan,Afghanistan,South Asia,Low income,2017,2017,2032,2100,,10,10,Percent,Final energy,All technologies,10,,https://www.ren21.net/wp-content/uploads/2019/08/Full-Report-2018.pdf,1,Dou
AFG,Afghanistan,Afghanistan,South Asia,Low income,2020,2017,2100,2100,,40,40,Percent,Final energy,All technologies,40,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf,1,Dou
AFG,Afghanistan,Afghanistan,South Asia,Low income,2021,2021,2032,2100,,10,10,Percent,Primary energy,All technologies,,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2022_Full_Report.pdf,,Dou
AFG,Afghanistan,Afghanistan,South Asia,Low income,2021,2021,2100,2100,,40,40,Percent,Primary energy,All technologies,,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2022_Full_Report.pdf,,Dou
ALB,Albania,Albania,Europe & Central Asia,Upper middle income,2012,2012,2020,2030,,38,38,Percent,Final energy,All technologies,38,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2013_Full-Report_English.pdf,1,Dou
ALB,Albania,Albania,Europe & Central Asia,Upper middle income,2020,2012,2030,2030,,42,42,Percent,Final energy,All technologies,42,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf,1,Dou
ALB,Albania,Albania,Europe & Central Asia,Upper middle income,2023,2012,2030,2030,,54,54,Percent,Final energy,All technologies,54,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2024_GlobalOverview_Full_Report_with_endnotes_web.pdf,1,Dou
ALB,Albania,Albania,Europe & Central Asia,Upper middle income,2008,2008,2020,2030,,40,40,Percent,Primary energy,All technologies,,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2009_Full-Report_English.pdf,,Dou
